Nodes;Mixed Old;Lin Yen ;Eades;Huang et al.;Angular Only OLD;Crossing Only;Mixed;Angular Only
11;2.71677520091314;1.47717445915622;1.16531825608323;1.28201769840376;2.74048098644291;1.44878284717145;3.3914065455109;3.51782335503019
12;2.45930249356393;1.4978052393507;1.17770365473239;1.28107804858955;2.45863297735824;1.33061285275475;4.11869246205728;4.25378222020467
13;2.76335241406303;1.54765202168206;1.2277000619044;1.35777530186534;2.79287961697027;1.28523818885494;3.8196279037876;3.85405065118152
14;2.62712654221431;1.53616464816452;1.22227776047666;1.33383237628832;2.63281225682418;1.34710098262309;3.2469264097194;3.13602482634564
15;2.9997948295772;1.62614686720215;1.29197904614317;1.40660357335771;3.04178023952561;1.38610934760411;3.84967753811534;4.21104258818583
16;2.94786319033525;1.61327397328775;1.2926800880406;1.41817947234089;2.98162553700055;221.482681965996;3.85804974719779;4.1321899742503
17;3.02367018540961;1.65790581550928;1.3082966887354;1.4403705826703;3.015011073609;1.43553195178489;3.72251414207776;3.78564959485155
18;3.05366035628836;1.65882493158582;1.35883323782372;1.4827330334747;3.07321530314104;1.53006336364104;3.76398303199892;3.76011525937172
19;3.07751490991074;1.67514461770068;1.36951088159315;1.49584665636236;3.07252535304568;41.4497845378502;4.01074212242069;3.98874355980809
20;3.05305450341499;1.68221673167149;1.36949830082638;1.50168169892471;3.07344571882402;276.399904367181;3.70341618899855;3.94195402371561
21;2.98822257735178;1.69172023949469;1.42262475370215;1.54238868512137;3.01106362755552;3054.86987345449;3.70747688405728;3.77273851432857
22;3.12069255917841;1.73608287369917;1.43432349874833;1.53165320632723;3.15719839693807;1.47235696121202;3.70055363389931;3.75915006229118
23;3.06641019288323;1.68240881080637;1.46824634348589;1.57417311409546;3.12388545552554;509.792748027369;3.42972919718515;3.70774193853012
24;2.96936833225214;1.70659871594546;1.44092267643823;1.51821655798641;2.965574604547;1.51058116135616;3.85066016872006;3.96615496374108
25;2.92504794694352;1.6850709620082;1.46513995727497;1.55022126512108;2.95366532788764;1.53822963869882;3.73018856661646;3.81302771066511
26;3.06718777306741;1.69859826813492;1.48086806988802;1.56206899336591;3.04525027857285;1207.80361343134;3.9318372934215;4.03712139461821
27;3.07668779780686;1.7049546214006;1.48839193855288;1.5804053470513;3.08318674043316;154.29230756006;3.60167880684504;3.59914006860162
28;3.10746978793593;1.78533694676756;1.5399151491292;1.63014507072876;3.12863429132035;1.54928944082423;3.85874667046984;3.85765718804666
29;3.03581603346348;1.76550184501689;1.56844571893564;1.6529650929602;3.08001108500059;312.72589770176;3.54013578953492;3.65816163811209
30;3.35485286247754;1.7998779207505;1.62633291827379;1.67094290539592;3.36318223156646;204.350303504148;4.32340769367446;4.12910578551665
31;3.02046692601674;1.73216449716191;1.53993008328633;1.65760748310985;3.07497046873612;57.9157089210717;3.82445386877259;3.94947139499385
32;3.03030813849611;1.7601636167577;1.63297172909144;1.70378391847664;3.06574818531051;23.4106714258884;3.48222379708967;3.47751187691572
33;3.17807844213303;1.79927933963272;1.63511593142562;1.72881712095689;3.18939597189422;375.636312956365;3.7972953766845;3.85480178703064
34;3.18734812263239;1.80097814624546;1.61698488328324;1.7100158814049;3.21300925765744;913.476892777016;3.61851939979612;3.63347342663239
35;3.31250400520441;1.86897285604076;1.69748482662071;1.79001133599221;3.38037061000561;418.22202167234;3.70617853624674;3.82601540225406
36;3.51889672055523;1.89851297745625;1.71789609996959;1.82221237950799;3.54371850354479;591.986459224743;3.70455130547903;3.72824692277931
37;3.74160934497941;1.92839628338318;1.75566809129724;1.87563936103472;3.63131143170425;480.414751923506;4.03492396189963;3.8101026159002
38;3.68468366582671;1.95054079358281;1.78882674379134;1.91136130649922;3.65465396327807;325.758945641981;3.890696514259;3.85310534303475
39;3.946515501054;2.01417383427748;1.82809502666483;1.9480226035451;3.96776979527344;860.79005468179;4.16363615167063;4.15775421519522
40;3.90999607623951;1.98729667414479;1.86128372652529;1.97093216652333;3.90823567699785;302.053525348788;4.06889640562076;4.06454790533057
41;3.93643429483195;2.01035357781901;1.89103017024709;2.00591383099016;3.94332106827631;185.003795996856;4.10049910417304;4.11511007878258
42;4.0617370388767;2.06489128851738;1.93003996368196;2.04002776502302;4.12179612904549;452.967816910703;4.1769471108349;4.231119435426
43;4.1738937821364;2.07046930648457;1.92249808400077;2.04102190222662;4.13847209107254;471.495243359312;4.2704988762464;4.23768351078602
44;4.2072761910625;2.06298620229847;1.96121830569899;2.06763976206354;4.12270815764361;31.8118196958109;4.36125395562214;4.24973152044038
45;4.11975552456544;2.0956210528756;1.94900653329563;2.0622281389788;4.14679215119156;126.587810985392;4.26402456995512;4.3043926770817
46;4.6079645862128;2.10758673542526;1.99360085374906;2.10261308175697;4.33512764853234;185.696920520447;4.80648133878183;4.47274843487663
47;4.18765540893881;2.12503252207169;1.99085490460775;2.1056150626625;4.11775913451392;585.225847656474;4.38631734831217;4.30406375354094
48;4.02061933222845;2.08063785116852;1.98388991852777;2.07930602294675;4.0847126402126;2516.24856179025;4.17830557746405;4.22898739964071
49;3.91496919191305;2.09020852998219;2.01935031798057;2.13379033332797;3.98933680314972;509.11160486962;3.99581892855984;4.06332852934773
50;4.37368163027418;2.06400305783009;2.00898744353375;2.06586291094105;4.12842587264963;650.99447317662;4.47873539420615;4.19393215350478
51;4.05213156954253;2.13758376248273;2.05129406329612;2.15305122732206;4.08099157610851;225.091429670093;4.17534000148138;4.21306596365908
52;4.75566469857027;2.23495400602438;2.10668954041441;2.18441729801141;4.50541702298289;316.872908385003;4.83297188256463;4.5567398163534
53;4.47974716670499;2.16341473368388;2.08287114911889;2.19017100154439;4.40240710558548;1086.58175637224;4.51886091868201;4.40933194550389
54;4.35966423484837;2.19704697617426;2.10929083993129;2.21485575190211;4.38910887147174;942.774901477537;4.38546383061438;4.40863400972149
55;4.45636124939343;2.23145828522631;2.12914040493606;2.22594930217622;4.24965297909786;1036.14291518995;4.55498458850903;4.33474981666263
56;4.47218879564211;2.22520431180448;2.16672363030457;2.2437691908461;4.35750613727658;445.564012448099;4.59179768101494;4.46373186488286
57;4.50586491573731;2.24005646843051;2.14570251534485;2.25099621316575;4.47616794112632;2477.55460877343;4.5264604464167;4.49604247195142
58;4.27064018193184;2.20855664792585;2.15100143144271;2.25752986758077;4.23717132952149;398.512544160646;4.34505764473609;4.29573079868421
59;4.57743596927058;2.23722502083615;2.19203369666387;2.29106648026974;4.32099664892828;1600.02181326977;4.58768351131061;4.33167546999675
60;4.58864176285057;2.29410245456646;2.19217885075225;2.30691099047401;4.45414364933906;248.23814406736;4.64783381502446;4.48703254726048
61;5.02592539347564;2.32043048122647;2.27345681415428;2.38728140388363;4.79837990884187;406.681654318063;5.03772167491621;4.8070644848906
62;4.73853753784682;2.30745761189809;2.3064436617428;2.40337176278353;4.62132291319348;365.134823069005;4.76286374211699;4.64884231268544
63;4.93651045128292;2.30805258013625;2.29592182915587;2.3912050730424;4.56874085524929;889.713789238179;4.95633892939436;4.57817388049008
64;4.64912994642331;2.31242812620445;2.28583558341765;2.35377165717813;4.64441767166466;420.231065868496;4.64912994642331;4.64441767166466
65;4.66870308136943;2.36764880743951;2.34820722845056;2.42960951734727;4.57490318374887;1937.33740923266;4.70776231608586;4.62455334090701
66;4.74317286437337;2.35778991260489;2.34411828585538;2.40775844573314;4.60207581452081;411.298111355582;4.75843892474007;4.62136861097512
67;4.90504133295023;2.28887441651495;2.31244586695944;2.44566350085706;4.57322805485825;666.842564486804;4.95875828254412;4.6250802099835
68;4.81889965215735;2.2925122159281;2.34718903367373;2.45523422475797;4.36934705338892;257.94286744856;4.84125447875829;4.38704702249578
69;4.96700543794174;2.42157160986644;2.39059204768764;2.45913242040998;4.55433905382242;1075.14082775937;5.01968295882395;4.59971060015585
70;4.92533252473092;2.36253223886418;2.41527227881391;2.5100565010138;4.57457338857028;482.92848102083;4.94351869416018;4.5890139447077
71;4.8676884961879;2.35943139425077;2.3754031654257;2.49787602393109;4.64589619630901;599.627511146789;4.8952681319577;4.6608721718734
72;4.71345883716589;3.23641300553154;2.43648957275328;2.52171097769365;4.63687545760754;773.768636795219;4.7447983531925;4.66343132942448
73;4.54063158373699;2.36496172964609;2.35162009188417;2.4491984174408;4.66587742867493;648.498350099336;4.54063158373699;4.66587742867493
74;5.48156419236299;2.4686346158591;2.41792610728467;2.52060209147127;5.11155787463479;434.027705358014;5.48156419236299;5.11155787463479
75;4.93550766646369;2.46989906777334;2.4601319959881;2.56408042118101;4.79969563980264;1561.86019752042;4.95241421527658;4.81097409406625
76;5.29383431479785;2.46068613908551;2.43972752295805;2.56170390761336;4.83425676333785;610.19504750996;5.29383431479785;4.83425676333785
77;5.10025157889717;2.44670249216142;2.48012330309584;2.55974232051187;4.84376099731229;624.243867357983;5.11387312193665;4.85188063920431
78;5.13939862336842;2.41982528399503;2.52944734048916;2.59804277270976;4.6888332165308;3838.40738549275;5.13939862336842;4.6888332165308
79;5.33870511684355;2.39852026269235;2.52852434094835;2.62229718834265;4.62145724080412;2920.78575439795;5.33870511684355;4.62145724080412
80;5.30039903397618;2.52933020850337;2.58006120083998;2.70169945827297;4.81717538221987;603.575343550438;5.30039903397618;4.81717538221987
81;5.38110103837368;2.49850591742801;2.60570828373079;2.67120646567684;4.90693968647563;482.588999861284;5.38110103837368;4.90693968647563
82;5.53635472582065;2.57847563569846;2.57574300853911;2.62347315116387;5.11192499154836;681.284084229995;5.53635472582065;5.11192499154836
83;5.63071900071728;2.5110866846729;2.6058586867289;2.71928618534225;4.78387802444637;537.943089408082;5.63071900071728;4.78387802444637
84;5.36212478367256;2.49017554805399;2.65284829657915;2.69854821253732;4.75808117895172;617.15803879191;5.36212478367256;4.75808117895172
85;5.43153744432341;2.42488875396594;2.68390299723057;2.72914760798779;4.79208106727741;665.430332977321;5.43153744432341;4.79208106727741
86;5.48463378314881;2.57180868493449;2.62001539338159;2.73318661244576;5.11712372305725;1611.5070946432;5.48463378314881;5.11712372305725
87;7.91705472257975;2.55670533262338;2.69009512515231;2.77168662918818;5.13147156809424;2073.29771249189;7.91705472257975;5.13147156809424
88;5.44339411333767;2.46523369156118;2.61985992772645;2.68471797232145;4.79290207703598;416.489768727951;5.44339411333767;4.79290207703598
89;5.46970913102402;2.49644942937203;2.6637502603823;2.70275413354669;4.92463998375309;575.754429519643;5.51565945283774;4.95842591248418
90;5.57191979302959;2.57797391245684;2.75437666457657;2.80020300559696;4.93388066739;4391.4548505871;5.57191979302959;4.93388066739
91;5.57037193499835;2.53515709998821;2.6895900655754;2.77744757691635;4.94368118453597;402.500050495064;5.57037193499835;4.94368118453597
92;5.92001818926864;2.59596485500476;2.78914876981987;2.8821385357868;5.08832759247282;3141.05769565691;5.92001818926864;5.08832759247282
93;5.72234510166884;2.59147016374328;2.72255350255861;2.79524499225983;5.0343309194724;1092.88038781781;5.72234510166884;5.0343309194724
94;5.92358992493975;2.61322612532491;2.76759219767384;2.87457589442161;5.19347158899894;1678.17101922014;5.92358992493975;5.19347158899894
95;6.43129710512058;2.68473772863778;2.81023445166303;2.89794997339062;5.20143311632395;1021.12309038689;6.43129710512058;5.20143311632395
96;5.81915952259993;2.59581116328338;2.77554869820246;2.82540078796053;5.01700262808125;2479.65145394964;5.81915952259993;5.01700262808125
97;7.45393177972464;2.75311558264666;2.81481313218674;2.89051580269177;6.06300831087589;2265.72550717333;7.45393177972464;6.06300831087589
98;6.21576864377854;2.58895777090502;2.8468906189185;2.94647458757067;5.16376787736995;1670.54782251749;6.21576864377854;5.16376787736995
99;6.77003763808003;2.77496336103532;2.84798483037865;2.95167054604315;5.42711703711651;3339.27994466776;6.77003763808003;5.42711703711651
100;6.37282708375905;2.64919392863884;2.84341321625559;2.92093161148686;5.30578599962017;795.751414610452;6.37282708375905;5.30578599962017
